"id","name","description","cost","type","scaled_radius"
"1","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","62696821","subcontract",14
"2","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","60448995","subcontract",14
"3","Cost Plus Fixed Fee","Cost Plus Fixed Fee","60000000","subcontract",14
"4","Cost Plus Fixed Fee","Cost Plus Fixed Fee","48800000","subcontract",14
"5","Cost Plus Fixed Fee","Cost Plus Fixed Fee","48800000","subcontract",14
"6","Cost Plus Fixed Fee","Cost Plus Fixed Fee","48800000","subcontract",14
"7","Cost Plus Fixed Fee","Cost Plus Fixed Fee","44000000","subcontract",13
"8","Cost Plus Fixed Fee","Cost Plus Fixed Fee","39200000","subcontract",13
"9","Cost Plus Fixed Fee","Cost Plus Fixed Fee","35100000","subcontract",13
"10","Cost Plus Fixed Fee","Cost Plus Fixed Fee","31200000","subcontract",12
"11","Cost Plus Fixed Fee","Cost Plus Fixed Fee","22205895","subcontract",12
"12","Cost Plus Fixed Fee","Cost Plus Fixed Fee","21000000","subcontract",12
"13","Cost Plus Fixed Fee","Cost Plus Fixed Fee","11200000","subcontract",11
"14","Cost Plus Fixed Fee","Cost Plus Fixed Fee","8000000","subcontract",11
"15","Cost Plus Fixed Fee","Cost Plus Fixed Fee","6000000","subcontract",10
"16","NRE - Other.","NRE - Other.","4945440","subcontract",10
"17","Cost Plus Fixed Fee","Cost Plus Fixed Fee","4866781","subcontract",10
"18","Cost Plus Fixed Fee","Cost Plus Fixed Fee","4000000","subcontract",10
"19","Cost Plus Fixed Fee","Cost Plus Fixed Fee","3190801","subcontract",10
"20","NRE - Other.","NRE - Other.","2979529","subcontract",10
"22","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","2356023","subcontract",10
"23","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","2356023","subcontract",10
"24","Firm Fixed Price","Firm Fixed Price","2328936","subcontract",10
"25","NRE - Other.","NRE - Other.","2176384","subcontract",10
"26","NRE - Other.","NRE - Other.","2148728","subcontract",10
"27","Cost Plus Fixed Fee","Cost Plus Fixed Fee","1997588","subcontract",10
"28","Firm Fixed Price","Firm Fixed Price","1942520","subcontract",10
"29","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","1935479","subcontract",10
"30","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","1935479","subcontract",10
"31","Firm Fixed Price","Firm Fixed Price","1919219","subcontract",10
"32","Firm Fixed Price","Firm Fixed Price","1511333","subcontract",10
"33","Firm Fixed Price","Firm Fixed Price","1331612","subcontract",10
"34","Explosive Cut Device, NRE - Engineering, NRE - Other.","Explosive Cut Device, NRE - Engineering, NRE - Other.","1147265","subcontract",10
"35","Explosive Cut Device, NRE - Engineering, NRE - Other.","Explosive Cut Device, NRE - Engineering, NRE - Other.","1147265","subcontract",10
"36","Couplers, Gen Structural Assys, NRE - Other, Nuts.","Couplers, Gen Structural Assys, NRE - Other, Nuts.","932473","subcontract",10
"37","Couplers, Gen Structural Assys, NRE - Other, Nuts.","Couplers, Gen Structural Assys, NRE - Other, Nuts.","932473","subcontract",10
"39","EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","926271","subcontract",10
"40","EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","926271","subcontract",10
"41","Firm Fixed Price","Firm Fixed Price","924640","subcontract",10
"42","Firm Fixed Price","Firm Fixed Price","900319","subcontract",10
"45","Firm Fixed Price","Firm Fixed Price","891828","subcontract",10
"49","Firm Fixed Price","Firm Fixed Price","754666","subcontract",10
"50","Cost Plus Fixed Fee","Cost Plus Fixed Fee","712889","subcontract",10
"61","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","504312","subcontract",10
"62","Cost Plus Fixed Fee","Cost Plus Fixed Fee","500000","subcontract",10
"64","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","494312","subcontract",10
"65","Firm Fixed Price","Firm Fixed Price","486590","subcontract",10
"66","Firm Fixed Price","Firm Fixed Price","461160","subcontract",10
"71","Firm Fixed Price","Firm Fixed Price","434734","subcontract",10
"73","Firm Fixed Price","Firm Fixed Price","418147","subcontract",10
"82","Cost Plus Fixed Fee","Cost Plus Fixed Fee","356444","subcontract",10
"84","NRE - Other.","NRE - Other.","352687","subcontract",10
"85","NRE - Other.","NRE - Other.","352687","subcontract",10
"89","Firm Fixed Price","Firm Fixed Price","323145","subcontract",10
"100","Explosive Cut Device.","Explosive Cut Device.","230580","subcontract",10
"101","Explosive Cut Device.","Explosive Cut Device.","230580","subcontract",10
"102","Firm Fixed Price","Firm Fixed Price","230580","subcontract",10
"103","Firm Fixed Price","Firm Fixed Price","229838","subcontract",10
"109","NRE - Other.","NRE - Other.","199862","subcontract",10
"112","NRE - Other.","NRE - Other.","197547","subcontract",10
"113","NRE - Other.","NRE - Other.","197472","subcontract",10
"114","Firm Fixed Price","Firm Fixed Price","194073","subcontract",10
"121","Firm Fixed Price","Firm Fixed Price","189839","subcontract",10
"133","Firm Fixed Price","Firm Fixed Price","171101","subcontract",10
"183","Firm Fixed Price","Firm Fixed Price","114317","subcontract",10
"186","Firm Fixed Price","Firm Fixed Price","106203","subcontract",10
