"id","name","description","cost","type","scaled_radius"
"1","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","62696821","subcontract",24
"2","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","60448995","subcontract",24
"16","NRE - Other.","NRE - Other.","4945440","subcontract",11
"20","NRE - Other.","NRE - Other.","2979529","subcontract",11
"22","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","2356023","subcontract",11
"23","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","2356023","subcontract",11
"25","NRE - Other.","NRE - Other.","2176384","subcontract",10
"26","NRE - Other.","NRE - Other.","2148728","subcontract",10
"29","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","1935479","subcontract",10
"30","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","1935479","subcontract",10
"34","Explosive Cut Device, NRE - Engineering, NRE - Other.","Explosive Cut Device, NRE - Engineering, NRE - Other.","1147265","subcontract",10
"35","Explosive Cut Device, NRE - Engineering, NRE - Other.","Explosive Cut Device, NRE - Engineering, NRE - Other.","1147265","subcontract",10
"36","Couplers, Gen Structural Assys, NRE - Other, Nuts.","Couplers, Gen Structural Assys, NRE - Other, Nuts.","932473","subcontract",10
"37","Couplers, Gen Structural Assys, NRE - Other, Nuts.","Couplers, Gen Structural Assys, NRE - Other, Nuts.","932473","subcontract",10
"39","EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","926271","subcontract",10
"40","EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","926271","subcontract",10
"43","Encoders, NRE - Other.","Encoders, NRE - Other.","893366","subcontract",10
"44","Encoders, NRE - Other.","Encoders, NRE - Other.","893366","subcontract",10
"47","Fuselage, Gen Structural Assys, NRE - Other.","Fuselage, Gen Structural Assys, NRE - Other.","784267","subcontract",10
"48","Fuselage, Gen Structural Assys, NRE - Other.","Fuselage, Gen Structural Assys, NRE - Other.","784267","subcontract",10
"53","Testing (Non-Prod).","Testing (Non-Prod).","673672","subcontract",10
"54","Testing (Non-Prod).","Testing (Non-Prod).","673672","subcontract",10
"61","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","504312","subcontract",10
"63","Time & Material","Time & Material","499468","subcontract",10
"64","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","494312","subcontract",10
"84","NRE - Other.","NRE - Other.","352687","subcontract",10
"85","NRE - Other.","NRE - Other.","352687","subcontract",10
"87","Tech/Eng Services.","Tech/Eng Services.","338484","subcontract",10
