"id","name","description","extracted_words","cost","type","scaled_radius"
"22","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","Detonator","2356023","subcontract",11
"23","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.","Detonator","2356023","subcontract",11
"34","Explosive Cut Device, NRE - Engineering, NRE - Other.","Explosive Cut Device, NRE - Engineering, NRE - Other.","Explosive","1147265","subcontract",10
"35","Explosive Cut Device, NRE - Engineering, NRE - Other.","Explosive Cut Device, NRE - Engineering, NRE - Other.","Explosive","1147265","subcontract",10
"36","Couplers, Gen Structural Assys, NRE - Other, Nuts.","Couplers, Gen Structural Assys, NRE - Other, Nuts.","Nuts","932473","subcontract",10
"37","Couplers, Gen Structural Assys, NRE - Other, Nuts.","Couplers, Gen Structural Assys, NRE - Other, Nuts.","Nuts","932473","subcontract",10
"43","Encoders, NRE - Other.","Encoders, NRE - Other.","Encoders","893366","subcontract",10
"44","Encoders, NRE - Other.","Encoders, NRE - Other.","Encoders","893366","subcontract",10
"47","Fuselage, Gen Structural Assys, NRE - Other.","Fuselage, Gen Structural Assys, NRE - Other.","Fuselage","784267","subcontract",10
"48","Fuselage, Gen Structural Assys, NRE - Other.","Fuselage, Gen Structural Assys, NRE - Other.","Fuselage","784267","subcontract",10
"56","NRE - Data Items, NRE - Engineering, NRE - Qualification, Pumps, Tech/Eng Services.","NRE - Data Items, NRE - Engineering, NRE - Qualification, Pumps, Tech/Eng Services.","Pumps","620396","subcontract",10
"59","Gen Structural Assys, NRE - Other, Valves.","Gen Structural Assys, NRE - Other, Valves.","Valves","509049","subcontract",10
"60","Gen Structural Assys, NRE - Other, Valves.","Gen Structural Assys, NRE - Other, Valves.","Valves","509049","subcontract",10
"61","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","Cable","504312","subcontract",10
"64","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","Cable Assemblies RF, CableAssy&HarnMulti, NRE - Other.","Cable","494312","subcontract",10
"78","NRE - Data Items, NRE - Engineering, NRE - Qualification, Pumps, Tech/Eng Services.","NRE - Data Items, NRE - Engineering, NRE - Qualification, Pumps, Tech/Eng Services.","Pumps","401171","subcontract",10
"79","NRE - Engineering, Titanium Invest Cast.","NRE - Engineering, Titanium Invest Cast.","Titanium","398019","subcontract",10
"80","NRE - Engineering, Titanium Invest Cast.","NRE - Engineering, Titanium Invest Cast.","Titanium","398019","subcontract",10
"100","Explosive Cut Device.","Explosive Cut Device.","Explosive","230580","subcontract",10
"101","Explosive Cut Device.","Explosive Cut Device.","Explosive","230580","subcontract",10
"105","NRE - Engineering, Receivers.","NRE - Engineering, Receivers.","Receivers","209036","subcontract",10
"106","NRE - Engineering, Receivers.","NRE - Engineering, Receivers.","Receivers","209036","subcontract",10
"110","Metal Shp'g Containr.","Metal Shp'g Containr.","Metal","198546","subcontract",10
"111","Metal Shp'g Containr.","Metal Shp'g Containr.","Metal","198546","subcontract",10
"122","Iron Batteries.","Iron Batteries.","Batteries","188342","subcontract",10
"123","Iron Batteries.","Iron Batteries.","Batteries","188342","subcontract",10
"147","Iron Batteries, NRE - Other.","Iron Batteries, NRE - Other.","Batteries","152392","subcontract",10
"149","Iron Batteries, NRE - Other.","Iron Batteries, NRE - Other.","Batteries","152392","subcontract",10
"151","Accelerometers, Amplifiers, Cable/CableAssyHV, Non-complex Machined.","Accelerometers, Amplifiers, Cable/CableAssyHV, Non-complex Machined.","Cable","149223","subcontract",10
"152","Accelerometers, Amplifiers, Cable/CableAssyHV, Non-complex Machined.","Accelerometers, Amplifiers, Cable/CableAssyHV, Non-complex Machined.","Cable","149223","subcontract",10
"160","Iron Batteries.","Iron Batteries.","Batteries","136770","subcontract",10
"161","Iron Batteries.","Iron Batteries.","Batteries","136770","subcontract",10
