"id","name","description","extracted_words","cost","type","scaled_radius"
"1","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","Detonator,Fuselage,Rubber,Seals,Wire,Cable","62696821","subcontract",24
"2","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","Detonator,Fuselage,Rubber,Seals,Wire,Cable","60448995","subcontract",24
"29","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","Pyrotechnic,Fuses,Rocket,Motors","1935479","subcontract",10
"30","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.","Pyrotechnic,Fuses,Rocket,Motors","1935479","subcontract",10
"115","Missile Antenna &Ped.","Missile Antenna &Ped.","Missile,Antenna","193949","subcontract",10
"116","Missile Antenna &Ped.","Missile Antenna &Ped.","Missile,Antenna","193949","subcontract",10
"119","Missile Antenna &Ped, NRE - Engineering, NRE - Other.","Missile Antenna &Ped, NRE - Engineering, NRE - Other.","Missile,Antenna","191588","subcontract",10
"120","Missile Antenna &Ped, NRE - Engineering, NRE - Other.","Missile Antenna &Ped, NRE - Engineering, NRE - Other.","Missile,Antenna","191588","subcontract",10
"141","Chargers, Lithium Batteries, NRE - Other.","Chargers, Lithium Batteries, NRE - Other.","Chargers,Lithium,Batteries","161022","subcontract",10
"142","Chargers, Lithium Batteries, NRE - Other.","Chargers, Lithium Batteries, NRE - Other.","Chargers,Lithium,Batteries","161022","subcontract",10
