"parent","id","name","value","final_layer"
"","All","DOD","0",FALSE
"All","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","617489059",FALSE
"All","All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","36843445",FALSE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA)","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","RAYTHEON COMPANY","617489059",FALSE
"All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","All.DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA).RAYTHEON COMPANY","RAYTHEON COMPANY","36843445",FALSE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.A. P. I. INCORPORATED","A. P. I. INCORPORATED","572257",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ADVANCED MATERIALS TECHNOLOGIES, LLC","ADVANCED MATERIALS TECHNOLOGIES, LLC","154000",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ADVANCED THERMAL BATTERIES INC.","ADVANCED THERMAL BATTERIES INC.","418140",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.AEROJET ROCKETDYNE, INC.","AEROJET ROCKETDYNE, INC.","5868546",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.AEROSPEC, INC.","AEROSPEC, INC.","253978",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ALLCOMP INC.","ALLCOMP INC.","511286",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ALLIANT TECHSYSTEMS OPERATIONS LLC","ALLIANT TECHSYSTEMS OPERATIONS LLC","522062107",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.AMRO FABRICATING CORPORATION","AMRO FABRICATING CORPORATION","148152",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ARCH GLOBAL PRECISION - HUNTINGDON VALLEY, LLC","ARCH GLOBAL PRECISION - HUNTINGDON VALLEY, LLC","595704",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ATK SPACE SYSTEMS INC.","ATK SPACE SYSTEMS INC.","385946",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.AZMARK AERO SYSTEMS, LLC","AZMARK AERO SYSTEMS, LLC","349396",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.BADGER METER, INC.","BADGER METER, INC.","141900",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.","BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.","90200",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.CAID INDUSTRIES, INC","CAID INDUSTRIES, INC","474616",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.CAMI RESEARCH, INC.","CAMI RESEARCH, INC.","198413",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.CARLETON TECHNOLOGIES INC","CARLETON TECHNOLOGIES INC","50000",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.CICOIL, LLC","CICOIL, LLC","61880",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.COBHAM MISSION SYSTEMS ORCHARD PARK INC.","COBHAM MISSION SYSTEMS ORCHARD PARK INC.","100000",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.CONCURRENT TECHNOLOGIES CORPORATION","CONCURRENT TECHNOLOGIES CORPORATION","212748",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.COORSTEK, INC.","COORSTEK, INC.","286748",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.CORVID TECHNOLOGIES LLC","CORVID TECHNOLOGIES LLC","308336",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.DESIGNLINX HARDWARE SOLUTIONS, INC.","DESIGNLINX HARDWARE SOLUTIONS, INC.","806408",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.DESIGNLINX HARDWARE SOLUTIONS, LLC","DESIGNLINX HARDWARE SOLUTIONS, LLC","405000",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.DIVERSIFIED TECHNICAL SYSTEMS, INC.","DIVERSIFIED TECHNICAL SYSTEMS, INC.","62858",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.DUCOMMUN LABARGE TECHNOLOGIES, INC.","DUCOMMUN LABARGE TECHNOLOGIES, INC.","5229626",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.DYNETICS TECHNICAL SOLUTIONS, INC.","DYNETICS TECHNICAL SOLUTIONS, INC.","2960013",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.DYNETICS, INC.","DYNETICS, INC.","123952",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.DYTRAN INSTRUMENTS INC.","DYTRAN INSTRUMENTS INC.","329450",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.EAGLEPICHER TECHNOLOGIES, LLC","EAGLEPICHER TECHNOLOGIES, LLC","1153705",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ELEMENT MATERIALS TECHNOLOGY CINCINNATI INC.","ELEMENT MATERIALS TECHNOLOGY CINCINNATI INC.","93274",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.EMOTEQ CORPORATION","EMOTEQ CORPORATION","93660",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","9999774",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.GLENAIR, INC.","GLENAIR, INC.","160842",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.GLOBE MOTORS, INC.","GLOBE MOTORS, INC.","46830",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.GRAY'S ENGINEERING & CONSULTING, INC.","GRAY'S ENGINEERING & CONSULTING, INC.","158935",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.GRAY'S ENGINEERING & CONSULTING, LLC","GRAY'S ENGINEERING & CONSULTING, LLC","140000",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.HERLEY INDUSTRIES, INC.","HERLEY INDUSTRIES, INC.","977772",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.HI-TECH MACHINING & ENGINEERING, L.L.C.","HI-TECH MACHINING & ENGINEERING, L.L.C.","444732",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.HONEYWELL INTERNATIONAL INC.","HONEYWELL INTERNATIONAL INC.","210573",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.INOVAR, INC.","INOVAR, INC.","625711",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","3900813",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.KEYSIGHT TECHNOLOGIES, INC.","KEYSIGHT TECHNOLOGIES, INC.","1027844",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.KIRSH MANUFACTURING, INC.","KIRSH MANUFACTURING, INC.","401760",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.KLUNE INDUSTRIES, INC.","KLUNE INDUSTRIES, INC.","298680",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.L3 TECHNOLOGIES, INC.","L3 TECHNOLOGIES, INC.","3316097",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.LABARGE ACQUISITION COMPANY, INC.","LABARGE ACQUISITION COMPANY, INC.","160780",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.MARVIN ENGINEERING CO., INC.","MARVIN ENGINEERING CO., INC.","1174630",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.MEASUREMENT SPECIALTIES, INC.","MEASUREMENT SPECIALTIES, INC.","1147680",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.MICRO CRAFT, INC.","MICRO CRAFT, INC.","2789257",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.MICRO SYSTEMS, INC.","MICRO SYSTEMS, INC.","128474",TRUE
"All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY","All.DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA).RAYTHEON COMPANY.MORGAN ADVANCED CERAMICS, INC","MORGAN ADVANCED CERAMICS, INC","694296",TRUE
