"subaward_action_date","contracts_sold","total_cost_day","total_cost"
2016-06-07,2,82290,"82290"
2016-08-30,15,428805895,"428888185"
2016-09-06,2,123145816,"552034001"
2016-10-27,2,3903690,"555937691"
2017-02-22,3,1096740,"557034431"
2017-02-23,9,6555296,"563589727"
2017-02-24,9,8260644,"571850371"
2017-02-28,2,7924969,"579775340"
2017-03-02,2,1852542,"581627882"
2017-03-23,3,150000,"581777882"
2017-03-27,1,123952,"581901834"
2017-03-29,2,4712046,"586613880"
2017-04-27,1,499468,"587113348"
2017-05-02,2,676968,"587790316"
2017-06-21,1,265477,"588055793"
2017-06-27,1,85283,"588141076"
2017-07-28,2,1347344,"589488420"
2017-08-11,1,1997588,"591486008"
2017-08-17,1,144600,"591630608"
2017-08-22,3,669542,"592300150"
2017-08-24,2,3870958,"596171108"
2017-09-11,2,1021567,"597192675"
2017-09-14,2,273540,"597466215"
2017-09-22,1,56889,"597523104"
2017-10-02,2,245034,"597768138"
2017-10-03,2,468500,"598236638"
2017-10-04,2,101810,"598338448"
2017-10-05,2,113778,"598452226"
2017-10-18,2,350660,"598802886"
2017-10-24,2,125290,"598928176"
2017-10-25,4,565711,"599493887"
2017-10-26,2,175170,"599669057"
2017-11-02,2,397066,"600066123"
2017-11-03,2,796038,"600862161"
2017-11-18,4,682076,"601544237"
2017-11-27,1,49384,"601593621"
2017-11-28,3,147600,"601741221"
2017-11-29,2,98768,"601839989"
2017-12-01,1,73308,"601913297"
2017-12-08,1,104537,"602017834"
2017-12-18,1,73308,"602091142"
2017-12-19,2,129680,"602220822"
2018-01-08,1,143820,"602364642"
2018-01-15,7,2941900,"605306542"
2018-01-18,2,2882715,"608189257"
2018-02-01,2,345768,"608535025"
2018-02-02,2,878700,"609413725"
2018-02-06,2,384960,"609798685"
2018-02-07,1,118490,"609917175"
2018-02-08,2,236980,"610154155"
2018-02-14,1,119900,"610274055"
2018-02-15,2,1018098,"611292153"
2018-02-17,3,160842,"611452995"
2018-02-27,1,146203,"611599198"
2018-03-06,2,572352,"612171550"
2018-03-15,2,1383383,"613554933"
2018-03-19,1,133920,"613688853"
2018-03-21,1,92820,"613781673"
2018-03-22,2,267840,"614049513"
2018-03-23,1,32304,"614081817"
2018-04-04,2,166472,"614248289"
2018-04-10,2,81236,"614329525"
2018-04-16,3,212748,"614542273"
2018-04-19,2,181634,"614723907"
2018-04-20,2,182428,"614906335"
2018-05-04,2,307076,"615213411"
2018-05-08,2,383176,"615596587"
2018-05-16,2,595704,"616192291"
2018-05-17,2,283200,"616475491"
2018-05-22,1,853476,"617328967"
2018-05-23,2,132320,"617461287"
2018-05-24,1,87531,"617548818"
2018-06-04,2,153946,"617702764"
2018-06-05,1,95958,"617798722"
2018-06-06,2,202722,"618001444"
2018-06-07,1,60076,"618061520"
2018-06-14,3,866746,"618928266"
2018-06-15,2,1394040,"620322306"
2018-06-18,2,111830,"620434136"
2018-06-25,1,350664,"620784800"
2018-06-27,3,198975,"620983775"
2018-07-23,1,58060,"621041835"
2018-07-25,2,287871,"621329706"
2018-07-26,4,660108,"621989814"
2018-08-01,1,47300,"622037114"
2018-08-02,3,227312,"622264426"
2018-08-07,2,203380,"622467806"
2018-08-08,1,88682,"622556488"
2018-08-09,3,242146,"622798634"
2018-08-10,2,140294,"622938928"
2018-08-13,4,1854572,"624793500"
2018-08-14,2,200464,"624993964"
2018-08-15,2,94600,"625088564"
2018-08-22,3,134664,"625223228"
2018-08-23,2,134802,"625358030"
2018-08-30,2,185704,"625543734"
2018-09-06,1,42463,"625586197"
2018-09-07,2,63000,"625649197"
2018-09-10,2,140140,"625789337"
2018-09-11,1,80144,"625869481"
2018-09-12,4,285894,"626155375"
2018-09-16,1,194073,"626349448"
2018-09-24,3,535956,"626885404"
2018-09-25,2,252000,"627137404"
2018-09-26,1,143374,"627280778"
2018-09-27,1,114317,"627395095"
2018-10-01,2,108058,"627503153"
2018-10-03,2,1786732,"629289885"
2018-10-08,2,1502713,"630792598"
2018-10-16,1,88913,"630881511"
2018-10-22,1,46830,"630928341"
2018-10-23,7,4269453,"635197794"
2018-10-24,1,143374,"635341168"
2018-11-01,3,2341360,"637682528"
2018-11-02,1,46830,"637729358"
2018-11-30,3,3056999,"640786357"
2018-12-04,2,998624,"641784981"
2018-12-17,1,32105,"641817086"
2018-12-18,3,209108,"642026194"
2018-12-20,1,35300,"642061494"
2019-01-21,1,30198,"642091692"
2019-01-22,2,240900,"642332592"
2019-01-24,1,27515,"642360107"
2019-01-25,2,68858,"642428965"
2019-01-31,2,51158,"642480123"
2019-02-06,1,30276,"642510399"
2019-02-27,1,42940,"642553339"
2019-03-06,2,128474,"642681813"
2019-03-13,2,61880,"642743693"
2019-03-22,2,323146,"643066839"
2019-03-26,2,298446,"643365285"
2019-04-08,2,202447,"643567732"
2019-04-11,2,304784,"643872516"
2019-04-17,2,73781,"643946297"
2019-04-23,2,116532,"644062829"
2019-04-30,3,156708,"644219537"
2019-05-01,1,314154,"644533691"
2019-05-14,2,198413,"644732104"
2019-05-20,3,484561,"645216665"
2019-05-23,1,168218,"645384883"
2019-05-28,2,154000,"645538883"
2019-05-30,2,387898,"645926781"
2019-07-01,2,62858,"645989639"
2019-08-21,2,93274,"646082913"
2019-10-09,2,4325112,"650408025"
2019-10-30,2,230000,"650638025"
2019-11-27,2,253978,"650892003"
2019-12-12,2,60650,"650952653"
2019-12-17,2,135444,"651088097"
2020-01-06,2,397092,"651485189"
2020-01-29,2,100742,"651585931"
2020-03-03,2,66626,"651652557"
2020-03-20,2,88546,"651741103"
2020-03-26,2,705374,"652446477"
2020-04-30,2,63692,"652510169"
2020-06-16,2,77524,"652587693"
2020-07-28,2,298935,"652886628"
2020-09-10,3,290403,"653177031"
2020-09-18,3,594881,"653771912"
2021-01-20,2,95573,"653867485"
2021-02-11,1,86583,"653954068"
2021-04-28,2,308336,"654262404"
2021-05-20,1,31004,"654293408"
2021-06-09,1,39096,"654332504"
