"subawardee_name","subaward_action_date","subaward_amount","subaward_description","total_cost"
"L3 TECHNOLOGIES, INC.",2016-06-07,41145,"Encoders.","41145"
"L3 TECHNOLOGIES, INC.",2016-06-07,41145,"Encoders.","82290"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,60000000,"Cost Plus Fixed Fee","60082290"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,48800000,"Cost Plus Fixed Fee","108882290"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,48800000,"Cost Plus Fixed Fee","157682290"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,48800000,"Cost Plus Fixed Fee","206482290"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,44000000,"Cost Plus Fixed Fee","250482290"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,39200000,"Cost Plus Fixed Fee","289682290"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,35100000,"Cost Plus Fixed Fee","324782290"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,31200000,"Cost Plus Fixed Fee","355982290"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,22205895,"Cost Plus Fixed Fee","378188185"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,21000000,"Cost Plus Fixed Fee","399188185"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,11200000,"Cost Plus Fixed Fee","410388185"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,8000000,"Cost Plus Fixed Fee","418388185"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,6000000,"Cost Plus Fixed Fee","424388185"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,4000000,"Cost Plus Fixed Fee","428388185"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-08-30,500000,"Cost Plus Fixed Fee","428888185"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-09-06,62696821,"Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","491585006"
"ALLIANT TECHSYSTEMS OPERATIONS LLC",2016-09-06,60448995,"Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.","552034001"
"ORBITAL SCIENCES CORPORATION",2016-10-27,3190801,"Cost Plus Fixed Fee","555224802"
"ORBITAL SCIENCES CORPORATION",2016-10-27,712889,"Cost Plus Fixed Fee","555937691"
"PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC",2017-02-22,461160,"Firm Fixed Price","556398851"
"DESIGNLINX HARDWARE SOLUTIONS, LLC",2017-02-22,405000,"Time & Material","556803851"
"PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC",2017-02-22,230580,"Firm Fixed Price","557034431"
"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY",2017-02-23,2328936,"Firm Fixed Price","559363367"
"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY",2017-02-23,1919219,"Firm Fixed Price","561282586"
"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY",2017-02-23,486590,"Firm Fixed Price","561769176"
"DESIGNLINX HARDWARE SOLUTIONS, INC.",2017-02-23,403204,"Tech/Eng Services.","562172380"
"DESIGNLINX HARDWARE SOLUTIONS, INC.",2017-02-23,403204,"Tech/Eng Services.","562575584"
"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY",2017-02-23,323145,"Firm Fixed Price","562898729"
"PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC",2017-02-23,230580,"Explosive Cut Device.","563129309"
"PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY (CALIFORNIA) LLC",2017-02-23,230580,"Explosive Cut Device.","563359889"
"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY",2017-02-23,229838,"Firm Fixed Price","563589727"
"ORBITAL SCIENCES CORPORATION",2017-02-24,4866781,"Cost Plus Fixed Fee","568456508"
"TRI MODELS, INC.",2017-02-24,1511333,"Firm Fixed Price","569967841"
"TRI MODELS, INC.",2017-02-24,754666,"Firm Fixed Price","570722507"
"TRI MODELS, INC.",2017-02-24,418147,"Firm Fixed Price","571140654"
"ORBITAL SCIENCES CORPORATION",2017-02-24,356444,"Cost Plus Fixed Fee","571497098"
"TRI MODELS, INC.",2017-02-24,106203,"Firm Fixed Price","571603301"
"TRI MODELS, INC.",2017-02-24,106203,"Firm Fixed Price","571709504"
"TRI MODELS, INC.",2017-02-24,78934,"Firm Fixed Price","571788438"
"TRI MODELS, INC.",2017-02-24,61933,"Firm Fixed Price","571850371"
"ORBITAL SCIENCES LLC",2017-02-28,4945440,"NRE - Other.","576795811"
"ORBITAL SCIENCES LLC",2017-02-28,2979529,"NRE - Other.","579775340"
"TRI MODELS, INC.",2017-03-02,926271,"EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","580701611"
"TRI MODELS, INC.",2017-03-02,926271,"EnvTestEq(Shock/etc), NRE - Engineering, Tech/Eng Services.","581627882"
"COBHAM MISSION SYSTEMS ORCHARD PARK INC.",2017-03-23,50000,"Tech/Eng Services.","581677882"
