"subaward_action_date","subawardee_name","subaward_description","subaward_amount"
2016-09-06,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.",62696821
2016-09-06,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Detonator&Initiator, Fuselage, Gen Structural Assys, Molded Rubber&O Ring, Non-complex Machined, NRE - Other, Seals, Tech/Eng Services, Wire Cable.",60448995
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",60000000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",48800000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",48800000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",48800000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",44000000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",39200000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",35100000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",31200000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",22205895
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",21000000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",11200000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",8000000
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",6000000
2017-02-28,"ORBITAL SCIENCES LLC","NRE - Other.",4945440
2017-02-24,"ORBITAL SCIENCES CORPORATION","Cost Plus Fixed Fee",4866781
2016-08-30,"ALLIANT TECHSYSTEMS OPERATIONS LLC","Cost Plus Fixed Fee",4000000
2016-10-27,"ORBITAL SCIENCES CORPORATION","Cost Plus Fixed Fee",3190801
2017-02-28,"ORBITAL SCIENCES LLC","NRE - Other.",2979529
2018-01-18,"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.","Cost Plus Fixed Fee",2657424
2017-03-29,"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.",2356023
2017-03-29,"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","Detonator&Initiator, NRE - Engineering, NRE - Other, NRE - Qualification, S&A Devices.",2356023
2017-02-23,"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","Firm Fixed Price",2328936
2019-10-09,"ALLIANT TECHSYSTEMS OPERATIONS LLC","NRE - Other.",2176384
2019-10-09,"ALLIANT TECHSYSTEMS OPERATIONS LLC","NRE - Other.",2148728
2017-08-11,"AEROJET ROCKETDYNE, INC.","Cost Plus Fixed Fee",1997588
2018-11-30,"DUCOMMUN LABARGE TECHNOLOGIES, INC.","Firm Fixed Price",1942520
2017-08-24,"AEROJET ROCKETDYNE, INC.","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.",1935479
2017-08-24,"AEROJET ROCKETDYNE, INC.","FinsWings&Boattails, NRE - Other, Pyrotechnic Fuses, Rocket Motors.",1935479
2017-02-23,"ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY","Firm Fixed Price",1919219
2017-02-24,"TRI MODELS, INC.","Firm Fixed Price",1511333
